,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Pontianak,-0.03,109.33,89.15,57,82,4.0,ID,1592624336
1,Usagara,-2.68,33.0,66.2,93,75,7.2,TZ,1592624337
2,Thunder Bay,48.4,-89.32,66.0,63,75,9.17,CA,1592624137
3,Tuatapere,-46.13,167.68,48.58,82,45,3.15,NZ,1592624311
4,Ilulissat,69.22,-51.1,41.0,75,0,8.05,GL,1592623994
5,Pevek,69.7,170.31,45.27,65,21,10.6,RU,1592624157
6,Ushuaia,-54.8,-68.3,37.4,86,75,5.82,AR,1592623976
7,Qaanaaq,77.48,-69.36,34.07,84,100,2.82,GL,1592623981
8,Kumul,42.8,93.45,75.4,40,100,15.55,CN,1592624345
9,Kungurtug,50.6,97.52,69.58,35,100,1.81,RU,1592624346
10,Saint-Philippe,-21.36,55.77,69.8,68,75,14.99,RE,1592624027
11,Mar del Plata,-38.0,-57.56,55.99,66,1,6.93,AR,1592624017
12,Port Elizabeth,-33.92,25.57,62.6,36,21,8.05,ZA,1592624076
13,Itarema,-2.92,-39.92,74.98,91,0,10.0,BR,1592624163
14,Hithadhoo,-0.6,73.08,82.2,79,100,14.94,MV,1592624253
15,Rikitea,-23.12,-134.97,75.29,82,100,19.51,PF,1592624353
16,Esperance,-33.87,121.9,57.2,62,90,8.05,AU,1592624217
17,Kaitangata,-46.28,169.85,46.99,82,69,5.99,NZ,1592624177
18,Mataura,-46.19,168.86,45.57,84,78,1.83,NZ,1592624008
19,Kapaa,22.08,-159.32,80.6,69,40,18.34,US,1592624097
20,Hermanus,-34.42,19.23,57.0,96,42,1.01,ZA,1592624022
21,Avarua,-21.21,-159.78,73.4,60,67,8.05,CK,1592624058
22,Fort Nelson,58.81,-122.7,80.6,39,75,2.24,CA,1592624361
23,Yellowknife,62.46,-114.35,79.0,27,20,12.75,CA,1592623888
24,Busselton,-33.65,115.33,60.01,49,0,10.47,AU,1592624030
25,Hilo,19.73,-155.09,80.6,61,90,5.82,US,1592623958
26,Albany,42.6,-73.97,72.0,87,70,2.44,US,1592623803
27,Brae,60.4,-1.35,55.4,93,99,5.82,GB,1592624275
28,Hualmay,-11.1,-77.61,61.52,86,43,8.34,PE,1592624292
29,Laramie,41.31,-105.59,52.0,66,1,10.29,US,1592624369
30,Mingshui,36.72,117.5,91.0,33,4,3.0,CN,1592624370
31,Sibolga,1.74,98.78,80.2,76,100,1.95,ID,1592624371
32,Atuona,-9.8,-139.03,80.29,74,88,14.61,PF,1592624069
33,Isaka,-3.9,32.93,64.4,70,57,6.31,TZ,1592624374
34,San Vicente,-26.62,-54.13,65.62,85,1,5.12,AR,1592624375
35,Bam,29.11,58.36,92.23,11,0,5.14,IR,1592624376
36,Hambantota,6.12,81.12,84.2,79,20,10.29,LK,1592624377
37,Airai,-8.93,125.41,70.59,73,98,5.57,TL,1592624378
38,Port Alfred,-33.59,26.89,69.01,33,19,14.0,ZA,1592624086
39,Vol'sk,52.03,47.38,66.2,74,0,5.21,RU,1592624381
40,Aklavik,68.22,-135.01,50.0,93,75,8.05,CA,1592624382
41,Kavieng,-2.57,150.8,85.68,68,26,7.34,PG,1592624141
42,Bethel,41.37,-73.41,69.01,82,1,3.85,US,1592624102
43,Lima,-12.04,-77.03,62.6,88,75,13.87,PE,1592624160
44,Lagoa,39.05,-27.98,64.56,89,40,23.31,PT,1592624387
45,Araceli,10.55,119.99,84.87,67,52,2.86,PH,1592624388
46,Kumylzhenskaya,49.88,42.59,66.99,57,74,5.01,RU,1592624389
47,Karratha,-20.74,116.85,83.03,24,0,19.33,AU,1592623861
48,Port Hardy,50.7,-127.42,62.6,88,90,4.7,CA,1592624392
49,Tongliao,43.61,122.27,95.22,25,8,13.69,CN,1592624393
50,Punta Arenas,-53.15,-70.92,33.8,83,54,10.29,CL,1592624028
51,Geraldton,-28.77,114.6,64.4,42,0,19.46,AU,1592624195
52,Cape Town,-33.93,18.42,61.0,93,75,8.05,ZA,1592623820
53,Nikolskoye,59.7,30.79,60.8,72,20,11.18,RU,1592624129
54,Porbandar,21.64,69.61,87.8,74,40,9.17,IN,1592624280
55,Puerto Ayora,-0.74,-90.35,70.0,93,74,7.52,EC,1592623998
56,Barrow,71.29,-156.79,42.8,70,1,8.05,US,1592623911
57,Tiksi,71.69,128.87,68.25,33,0,4.92,RU,1592623986
58,Bahile,10.0,118.79,87.8,74,40,6.93,PH,1592624403
59,Chui,-33.7,-53.46,54.1,95,94,3.24,UY,1592624013
60,Katherine,-14.47,132.27,89.6,31,40,14.99,AU,1592624405
61,Portsmouth,50.8,-1.09,57.0,92,98,1.01,GB,1592624359
62,Muros,42.78,-9.06,60.01,92,64,3.8,ES,1592624407
63,Srednekolymsk,67.45,153.68,89.17,20,86,12.84,RU,1592624408
64,Hobart,-42.88,147.33,55.4,87,40,6.93,AU,1592623981
65,Taoudenni,22.68,-3.98,94.39,19,67,2.95,ML,1592624411
66,Khovd,48.01,91.64,68.47,29,76,6.02,MN,1592624249
67,Mount Gambier,-37.83,140.77,50.0,87,90,11.41,AU,1592624242
68,Naguelguel,16.01,120.26,89.6,61,3,3.47,PH,1592624414
69,Lālmohan,22.34,90.74,86.94,73,48,15.7,BD,1592624415
70,Mango,27.98,-82.31,81.0,94,1,5.08,US,1592624319
71,Upernavik,72.79,-56.15,39.63,71,17,5.79,GL,1592624124
72,Amapá,1.0,-52.0,70.83,98,11,0.89,BR,1592624293
73,Avera,33.19,-82.53,73.4,94,75,4.7,US,1592624420
74,New Norfolk,-42.78,147.06,55.0,81,92,1.86,AU,1592624218
75,Uva,56.99,52.19,63.0,64,23,4.0,RU,1592624422
76,Lüderitz,-26.65,15.16,60.8,38,0,4.7,NA,1592624074
77,Guerrero Negro,27.98,-114.06,63.57,82,0,16.69,MX,1592624034
78,Chokurdakh,70.63,147.92,91.81,16,47,9.24,RU,1592623987
79,São Filipe,14.9,-24.5,75.49,81,0,11.79,CV,1592624039
80,Zirl,47.3,11.27,53.6,93,75,1.12,AT,1592624428
81,Palmer,42.16,-72.33,73.4,69,75,6.93,US,1592624429
82,Vaini,-21.2,-175.2,75.2,73,75,8.05,TO,1592624052
83,Bayburt,40.26,40.23,53.69,75,91,2.73,TR,1592624431
84,St. George's,12.06,-61.75,80.6,83,20,13.87,GD,1592624432
85,George Town,5.41,100.34,84.2,79,20,5.82,MY,1592624067
86,Walvis Bay,-22.96,14.51,68.0,24,0,17.22,NA,1592624435
87,Vestmanna,62.16,-7.17,50.0,100,99,18.34,FO,1592624148
88,Cidreira,-30.18,-50.21,65.91,94,94,4.65,BR,1592624098
89,Tasiilaq,65.61,-37.64,37.2,82,100,3.56,GL,1592624072
90,Itoman,26.12,127.67,87.8,84,75,13.87,JP,1592624439
91,Alofi,-19.06,-169.92,78.8,65,34,10.29,NU,1592624440
92,Ostrovnoy,68.05,39.51,43.11,82,100,22.06,RU,1592624441
93,Port Lincoln,-34.73,135.87,54.93,63,68,23.91,AU,1592624169
94,Norman Wells,65.28,-126.83,78.8,41,75,4.7,CA,1592624444
95,Clyde River,70.47,-68.59,30.2,100,1,14.99,CA,1592624234
96,Muisne,0.6,-80.03,76.35,86,97,6.89,EC,1592624446
97,Saint Paul Harbor,57.79,-152.41,53.6,71,75,11.41,US,1592624118
98,Omsukchan,62.53,155.8,64.81,51,93,3.42,RU,1592624252
99,Pulandian,39.4,121.97,86.0,48,0,8.95,CN,1592624449
100,Okakarara,-20.58,17.43,38.55,71,0,4.14,NA,1592624451
101,Narsaq,60.92,-46.05,41.0,75,93,6.93,GL,1592624452
102,Korla,41.76,86.15,73.0,69,2,6.89,CN,1592624188
103,Katsuura,35.13,140.3,82.0,65,75,13.87,JP,1592624266
104,Zyryanka,65.75,150.85,91.02,18,0,3.8,RU,1592624455
105,Coquimbo,-29.95,-71.34,53.6,87,0,5.82,CL,1592624199
106,Khani,41.96,42.96,62.6,93,75,3.36,GE,1592624458
107,Loa Janan,-0.58,117.09,81.91,90,73,3.51,ID,1592624459
108,East London,-33.02,27.91,66.97,31,1,10.89,ZA,1592624023
109,Bluff,-46.6,168.33,46.94,73,87,10.13,NZ,1592623985
110,Flinders,-34.58,150.86,66.0,69,14,10.0,AU,1592624462
111,Sayyan,15.17,44.32,68.27,48,32,3.89,YE,1592624464
112,Port Macquarie,-31.43,152.92,66.99,63,73,5.46,AU,1592624465
113,Vila Velha,-20.33,-40.29,70.0,100,81,9.95,BR,1592624466
114,Campina Verde,-19.54,-49.49,65.19,57,0,4.47,BR,1592624467
115,Kiruna,67.86,20.23,48.2,70,5,8.99,SE,1592624468
116,Vicuña,-30.03,-70.71,51.01,61,11,2.39,CL,1592624469
117,Churapcha,62.0,132.43,79.09,40,35,0.96,RU,1592624471
118,Madera,37.17,-119.83,84.99,25,5,5.19,US,1592624472
119,Grand Baie,-20.02,57.58,69.01,81,87,8.99,MU,1592624473
120,Plyussa,58.43,29.37,61.23,96,87,7.27,RU,1592624474
121,Coyhaique,-45.58,-72.07,37.4,86,20,4.7,CL,1592624476
122,Vaitape,-16.52,-151.75,81.21,72,12,2.71,PF,1592624477
123,Nome,64.5,-165.41,72.0,59,40,10.29,US,1592623986
124,Eureka,40.8,-124.16,57.99,100,99,3.51,US,1592624412
125,Pāveh,35.04,46.36,59.0,44,0,3.06,IR,1592624480
126,Zhifang,30.35,114.32,73.4,88,90,8.95,CN,1592624481
127,Zhigansk,66.77,123.37,77.72,31,25,11.34,RU,1592624482
128,Torbay,47.67,-52.73,44.01,100,90,8.05,CA,1592624326
129,Dongtai,32.85,120.31,82.49,47,75,8.81,CN,1592624485
130,Butaritari,3.07,172.79,80.37,83,100,17.63,KI,1592624152
131,Sola,-13.88,167.55,86.0,70,75,10.29,VU,1592624487
132,Souillac,-20.52,57.52,71.6,73,75,14.99,MU,1592624274
133,Carnarvon,-24.87,113.63,69.8,56,0,5.82,AU,1592624187
134,Bredasdorp,-34.53,20.04,57.2,87,29,5.08,ZA,1592624214
135,Mossamedes,-15.2,12.15,70.0,54,0,5.01,AO,1592624108
136,Requena,39.49,-1.1,57.99,93,0,0.85,ES,1592624479
137,Ribeira Grande,38.52,-28.7,64.85,87,58,17.9,PT,1592624139
138,Ferrol,43.48,-8.24,61.0,93,90,3.36,ES,1592624386
139,Castro,-24.79,-50.01,57.2,94,11,5.17,BR,1592624211
140,Saint Anthony,45.02,-93.22,71.6,56,75,8.05,US,1592624498
141,Auki,-8.77,160.7,84.4,70,100,2.98,SB,1592624499
142,Cássia,-20.58,-46.92,59.07,88,15,1.28,BR,1592624500
143,Lebedinyy,58.52,125.52,64.71,47,41,6.38,RU,1592624501
144,Faanui,-16.48,-151.75,80.38,73,9,2.57,PF,1592624502
145,College,64.86,-147.8,60.8,77,75,4.7,US,1592624265
146,Maunabo,18.01,-65.9,81.0,90,6,3.0,PR,1592624504
147,Kahone,14.15,-16.03,82.4,83,51,4.7,SN,1592624506
148,Svetlaya,46.54,138.33,52.88,77,95,9.46,RU,1592624507
149,Cabo San Lucas,22.89,-109.91,82.99,76,32,14.45,MX,1592623952
150,Buala,-8.14,159.59,83.71,75,98,5.37,SB,1592624305
151,Sabang,5.89,95.32,83.62,71,71,7.81,ID,1592624510
152,Talnakh,69.49,88.4,46.4,93,75,11.18,RU,1592624255
153,Dikson,73.51,80.55,37.26,80,0,5.53,RU,1592624109
154,Arraial do Cabo,-22.97,-42.03,71.37,80,0,8.57,BR,1592623970
155,Vanimo,-2.67,141.3,85.17,68,49,4.52,PG,1592624516
156,Khatanga,71.97,102.5,62.69,49,100,9.01,RU,1592624025
157,Santa Cruz de La Palma,28.68,-17.76,71.6,68,42,10.29,ES,1592624518
158,Gravdal,68.12,13.5,52.95,61,40,9.33,NO,1592624520
159,Concepción,-36.83,-73.05,53.6,100,90,8.05,CL,1592624342
160,Port Hedland,-20.32,118.57,84.2,21,0,20.8,AU,1592624522
161,São João da Barra,-21.64,-41.05,71.28,91,42,10.13,BR,1592624523
162,Lisala,2.15,21.52,68.59,70,100,1.36,CD,1592624524
163,Noumea,-22.28,166.46,71.6,73,75,20.8,NC,1592624290
164,Kerman,30.28,57.08,78.8,26,40,4.7,IR,1592624526
165,Tuktoyaktuk,69.45,-133.04,42.8,87,90,10.29,CA,1592623983
166,Gouré,13.98,10.27,82.0,55,52,3.0,NE,1592624529
167,Coos Bay,43.37,-124.22,64.99,93,1,6.93,US,1592624530
168,Hofn,64.25,-15.21,51.06,83,100,16.4,IS,1592624016
169,Losevo,50.68,40.05,67.73,80,70,8.21,RU,1592624532
170,Beringovskiy,63.05,179.32,49.32,50,100,6.67,RU,1592624533
171,Santa Ana,33.75,-117.87,68.0,68,40,6.93,US,1592624180
172,Tonota,-21.48,27.48,44.2,88,0,2.95,BW,1592624535
173,Port Augusta,-32.5,137.77,62.6,45,50,16.11,AU,1592624537
174,San Cristobal,7.77,-72.22,66.22,91,89,3.83,VE,1592624209
175,Deputatsky,69.3,139.9,83.64,22,0,9.71,RU,1592624539
176,Laas,46.62,10.7,46.99,100,75,1.12,IT,1592624540
177,Plattsburgh,44.7,-73.45,73.4,78,75,3.49,US,1592624247
178,Paamiut,61.99,-49.67,38.82,87,78,8.63,GL,1592624543
179,Lander,42.83,-108.73,66.99,25,1,11.41,US,1592624544
180,San Patricio,19.22,-104.7,78.42,70,1,1.19,MX,1592624068
181,Sitka,57.05,-135.33,55.4,93,90,4.7,US,1592623984
182,Qasigiannguit,68.82,-51.19,41.0,75,0,8.05,GL,1592624547
183,Hong Kong,22.29,114.16,93.0,62,26,13.0,HK,1592624041
184,Yumen,40.28,97.2,87.04,13,100,6.02,CN,1592624549
185,Bambous Virieux,-20.34,57.76,71.6,73,75,14.99,MU,1592624228
186,La Baule-Escoublac,47.29,-2.36,57.99,87,90,2.24,FR,1592624551
187,Samarai,-10.62,150.67,79.61,85,62,13.33,PG,1592624553
188,Oussouye,12.48,-16.55,82.4,88,75,4.7,SN,1592624554
189,Thompson,55.74,-97.86,46.4,93,90,10.29,CA,1592624093
190,Provideniya,64.38,-173.3,58.32,43,26,5.37,RU,1592624286
191,Los Angeles,34.05,-118.24,66.99,68,1,5.82,US,1592624557
192,Aswān,24.09,32.91,78.17,27,0,9.01,EG,1592624558
193,Caravelas,-17.71,-39.25,71.62,88,9,5.73,BR,1592624115
194,Ponta do Sol,32.67,-17.1,68.0,72,75,6.93,PT,1592624018
195,Qui Nhon,13.77,109.23,87.57,64,17,10.74,VN,1592624562
196,Arrondissement de Mende,44.67,3.5,40.39,98,49,3.53,FR,1592624563
197,Vangaindrano,-23.35,47.6,66.94,85,86,5.66,MG,1592624564
198,Santa Maria,-29.68,-53.81,69.96,84,55,11.83,BR,1592624069
199,Buraidah,26.33,43.98,75.2,31,0,9.17,SA,1592624159
200,Ponta Delgada,37.73,-25.67,64.4,88,75,11.41,PT,1592624567
201,Kavaratti,10.57,72.64,86.0,74,40,5.82,IN,1592624193
202,Isangel,-19.55,169.27,78.8,69,40,9.17,VU,1592624319
203,Jamestown,42.1,-79.24,64.0,100,1,4.7,US,1592624050
204,Atikokan,48.76,-91.62,54.43,73,100,3.98,CA,1592624572
205,Tanhaçu,-14.02,-41.25,66.65,92,7,4.41,BR,1592624573
206,Bilma,18.69,12.92,84.69,16,54,7.45,NE,1592624574
207,Cap-aux-Meules,47.38,-61.86,59.67,88,0,9.57,CA,1592624575
208,Fortuna,40.6,-124.16,57.0,100,90,6.93,US,1592624576
209,Novy Urengoy,66.08,76.63,50.63,48,88,4.63,RU,1592624578
210,Aleksandrovskiy Zavod,50.92,117.94,71.33,39,76,6.44,RU,1592624579
211,Chapais,49.78,-74.85,71.6,68,40,5.82,CA,1592624033
212,Arlit,18.74,7.39,89.31,16,0,5.88,NE,1592624066
213,Bontang,0.13,117.5,83.19,80,41,4.83,ID,1592624582
214,Marawi,8.0,124.29,84.0,80,16,5.99,PH,1592624583
215,Williams Lake,52.14,-122.14,62.6,72,90,4.7,CA,1592624557
216,Portland,45.52,-122.68,79.0,44,90,6.93,US,1592624498
217,Saint George,37.1,-113.58,90.0,7,1,8.05,US,1592623872
218,San Quintín,30.48,-115.95,62.17,84,0,11.07,MX,1592624588
219,Obihiro,42.92,143.2,57.2,87,75,5.82,JP,1592624589
220,Cherskiy,68.75,161.3,83.64,23,3,5.26,RU,1592624590
221,Faya,18.39,42.45,69.8,42,89,5.44,SA,1592624591
222,Lorengau,-2.02,147.27,83.62,76,94,4.52,PG,1592624592
223,Ubinskoye,55.31,79.68,48.67,77,100,3.53,RU,1592624593
224,Vīrarājendrapet,12.2,75.8,77.0,88,40,4.7,IN,1592624594
225,Manokwari,-0.87,134.08,84.88,67,11,5.06,ID,1592624596
226,Kirakira,-10.45,161.92,82.31,76,66,10.85,SB,1592624597
227,Chawinda,32.35,74.71,86.0,48,66,4.7,PK,1592624598
228,Lebu,-37.62,-73.65,52.66,86,100,16.49,CL,1592624136
229,Bathsheba,13.22,-59.52,78.8,88,40,19.46,BB,1592624106
230,Rocha,-34.48,-54.33,49.39,93,49,3.15,UY,1592624150
231,Ostrogozhsk,50.87,39.08,67.48,85,68,8.57,RU,1592624602
232,Laguna,38.42,-121.42,79.0,49,74,4.0,US,1592624604
233,Lompoc,34.64,-120.46,60.8,82,28,9.17,US,1592624605
234,Asău,46.43,26.4,64.0,100,91,5.21,RO,1592624171
235,Murray Bridge,-35.12,139.27,50.0,92,59,8.01,AU,1592624607
236,Salalah,17.02,54.09,82.4,78,75,3.36,OM,1592624221
237,Haizhou,34.58,119.13,82.76,47,88,6.82,CN,1592624609
238,Bouca,6.51,18.27,68.9,95,99,2.04,CF,1592624610
239,Rock Sound,24.9,-76.2,80.83,86,76,10.94,BS,1592624612
240,Saldanha,-33.01,17.94,55.4,87,94,3.36,ZA,1592624613
241,Berea,41.37,-81.85,69.8,77,20,0.96,US,1592624482
242,Staryy Nadym,65.61,72.68,53.19,47,44,9.19,RU,1592624615
243,Makat,47.65,53.35,82.04,27,0,19.8,KZ,1592624616
244,Hillsborough,37.57,-122.38,66.2,77,40,18.34,US,1592624328
245,Kutum,14.2,24.67,72.03,36,6,7.96,SD,1592624618
246,Jaruco,23.04,-82.01,77.0,94,40,2.24,CU,1592624619
247,Byron Bay,-28.65,153.62,66.2,68,75,6.93,AU,1592624621
248,Constitución,-35.33,-72.42,54.37,92,98,7.63,CL,1592624622
249,Otane,-39.88,176.63,57.0,82,100,2.35,NZ,1592624623
250,Mahanoro,-19.9,48.8,69.03,86,100,7.92,MG,1592624624
251,Contamana,-7.33,-75.02,74.91,75,5,1.21,PE,1592624625
252,Quatre Cocos,-20.21,57.76,71.6,73,75,14.99,MU,1592624298
253,Dhidhdhoo,6.88,73.1,83.73,80,54,11.65,MV,1592624628
254,Sovetskiy,61.36,63.58,50.99,84,100,9.91,RU,1592624629
255,Te Anau,-45.42,167.72,45.45,79,5,0.94,NZ,1592624630
256,Tual,-5.67,132.75,80.49,79,69,20.4,ID,1592624296
257,Chu,43.6,73.76,73.0,69,0,3.0,KZ,1592624632
258,Luena,-11.78,19.92,45.09,70,3,4.23,AO,1592624634
259,Vila Franca do Campo,37.72,-25.43,64.4,88,75,11.41,PT,1592624635
260,Saskylakh,71.92,114.08,82.44,26,60,8.79,RU,1592624636
261,Bara,10.37,10.73,72.75,90,86,10.2,NG,1592624638
262,Vila,42.03,-8.16,48.99,91,0,1.41,PT,1592624639
263,Ketchikan,55.34,-131.65,55.4,93,90,9.17,US,1592624641
264,Richards Bay,-28.78,32.04,59.07,82,0,7.16,ZA,1592624642
265,Nanortalik,60.14,-45.24,38.43,92,100,14.97,GL,1592624643
266,Kolpny,52.23,37.04,66.74,93,25,7.07,RU,1592624644
267,Puerto Maldonado,-12.6,-69.18,73.78,74,10,1.23,PE,1592624645
