,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Padang,-0.95,100.35,86.27,61,72,5.41,ID,1592624179
269,Sinazongwe,-17.26,27.46,61.23,69,79,3.74,ZM,1592624648
270,Deniliquin,-35.53,144.97,61.09,62,6,9.51,AU,1592624649
271,Calderitas,18.55,-88.25,80.65,84,98,9.31,MX,1592624502
272,Umluj,25.02,37.27,80.62,57,3,4.0,SA,1592624651
273,Rincon,32.3,-81.24,73.4,94,20,5.82,US,1592624652
274,Maniitsoq,65.42,-52.9,37.11,85,88,11.3,GL,1592624244
275,Kautokeino,69.01,23.04,49.91,58,0,10.85,NO,1592624655
276,Lac du Bonnet,50.25,-96.06,57.99,67,40,6.6,CA,1592624656
277,Morón,-34.65,-58.62,54.0,97,40,1.74,AR,1592624657
278,Husavik,66.04,-17.34,44.6,93,90,5.82,IS,1592624658
279,Iqaluit,63.75,-68.51,37.4,86,75,8.05,CA,1592624130
280,Bandarbeyla,9.49,50.81,84.85,55,100,27.74,SO,1592624306
281,Trelew,-43.25,-65.31,46.06,54,37,12.66,AR,1592624661
282,Azanka,58.04,64.79,58.21,57,100,9.53,RU,1592624663
283,Rome,43.21,-75.46,75.2,60,20,2.93,US,1592624664
284,Lata,40.16,-8.33,57.0,83,0,2.93,PT,1592624665
285,Qinhuangdao,39.93,119.59,86.14,36,0,17.05,CN,1592624666
286,Morant Bay,17.88,-76.41,86.0,58,20,12.75,JM,1592624667
287,Mount Isa,-20.73,139.5,78.8,29,0,9.17,AU,1592624184
288,Caluquembe,-13.78,14.68,46.87,61,57,3.15,AO,1592624670
289,Kolvereid,64.87,11.6,62.55,70,92,11.16,NO,1592624671
290,Arica,-18.48,-70.3,57.76,83,23,0.85,CL,1592624672
291,Adrar,20.5,-10.07,92.08,19,21,12.15,MR,1592624673
292,Verkhnyaya Inta,65.98,60.31,41.88,83,100,17.36,RU,1592624675
293,Verchères,45.78,-73.35,81.0,60,33,1.01,CA,1592624676
294,Ust-Nera,64.57,143.2,81.88,26,0,5.46,RU,1592624677
295,Mazatlán,23.22,-106.42,82.0,90,0,3.15,MX,1592624570
296,Kyshtovka,56.55,76.63,51.15,54,0,5.95,RU,1592624679
297,Linguère,15.4,-15.12,82.44,65,1,13.11,SN,1592624681
298,Havøysund,71.0,24.66,42.8,75,75,11.41,NO,1592624682
299,Sinnamary,5.38,-52.95,78.08,87,13,7.45,GF,1592624683
300,Rafaela,-31.25,-61.49,52.0,80,0,3.0,AR,1592624684
301,Kachug,53.96,105.88,64.62,76,94,4.74,RU,1592624685
302,Bengkulu,-3.8,102.27,84.09,63,24,3.96,ID,1592624687
303,Bilibino,68.05,166.44,78.1,33,90,5.93,RU,1592624688
304,Half Moon Bay,37.46,-122.43,66.2,93,90,6.93,US,1592624689
305,Huilong,31.81,121.66,74.07,74,86,10.22,CN,1592624690
306,Bedum,53.3,6.6,57.99,93,37,4.7,NL,1592624691
307,Tucuruí,-3.77,-49.67,74.08,84,58,2.62,BR,1592624693
308,Djibo,14.1,-1.63,84.34,48,100,10.16,BF,1592624694
309,Maragogi,-9.01,-35.22,75.92,84,30,10.98,BR,1592624695
310,Yar-Sale,66.83,70.83,52.57,50,74,15.97,RU,1592624696
311,Labuhan,-6.88,112.21,85.71,60,94,3.06,ID,1592624250
312,Tokur,53.13,132.9,62.76,52,73,0.98,RU,1592624698
313,Sakakah,29.97,40.21,69.8,49,0,13.87,SA,1592624699
314,Chilca,-12.52,-76.74,62.6,88,75,13.87,PE,1592624701
315,Kruisfontein,-34.0,24.73,59.2,35,50,12.57,ZA,1592624189
316,Beira,-19.84,34.84,64.4,82,40,11.41,MZ,1592624703
317,Shetpe,44.17,52.12,86.34,15,30,21.97,KZ,1592624704
318,Panguna,-6.32,155.48,77.63,87,52,0.47,PG,1592624705
319,Chimichagua,9.26,-73.81,76.62,95,100,1.54,CO,1592624707
320,Puerto Madryn,-42.77,-65.04,48.63,51,32,15.39,AR,1592624708
321,Loreto,22.27,-101.97,69.69,58,57,12.84,MX,1592624709
322,Cho Dok,10.7,105.12,89.2,63,100,2.84,VN,1592624710
323,Vao,-22.67,167.48,68.76,80,37,20.51,NC,1592624711
324,Severo-Kuril'sk,50.68,156.12,42.37,90,100,18.25,RU,1592624712
325,Mahébourg,-20.41,57.7,71.6,73,75,14.99,MU,1592624197
326,Muzhi,65.37,64.67,47.3,83,100,12.5,RU,1592624715
327,Los Llanos de Aridane,28.66,-17.92,71.6,68,40,9.17,ES,1592624716
328,Ambilobe,-13.2,49.05,69.66,95,100,2.19,MG,1592624717
329,Dhanwār,24.42,85.98,88.47,61,54,10.31,IN,1592624718
330,Berlevåg,70.86,29.09,43.88,81,100,15.52,NO,1592624719
331,Dwārka,22.24,68.97,87.53,74,12,17.96,IN,1592624721
332,Binalan,18.33,121.55,91.89,56,0,1.92,PH,1592624722
333,Oranjemund,-28.55,16.43,58.64,60,0,2.71,NA,1592624204
334,Mapastepec,15.43,-92.9,79.02,78,100,4.16,MX,1592624724
335,Abu Samrah,35.3,37.18,69.17,67,9,17.69,SY,1592624725
336,Yangshe,31.89,120.61,86.0,50,65,1.99,CN,1592624726
337,Grindavik,63.84,-22.43,48.2,100,90,5.82,IS,1592624728
338,Lom,43.81,23.24,65.43,71,0,12.17,BG,1592624729
339,Malinyi,-8.93,36.13,62.8,73,5,3.22,TZ,1592624730
340,Bonthe,7.53,-12.51,77.02,83,100,2.19,SL,1592624731
341,Port-Cartier,50.03,-66.87,54.0,87,75,11.41,CA,1592624271
342,Erzin,36.96,36.2,68.0,89,4,1.39,TR,1592624733
343,Puro,12.48,123.38,88.16,61,35,4.79,PH,1592624735
344,Yining,29.04,114.56,88.3,70,100,0.51,CN,1592624736
345,Kahului,20.89,-156.47,84.2,51,40,18.34,US,1592624737
346,Taft,31.75,54.21,89.6,11,0,6.93,IR,1592624738
347,Atbasar,51.8,68.33,54.05,44,70,5.48,KZ,1592624739
348,Senneterre,48.38,-77.23,71.6,56,1,4.7,CA,1592624741
349,Presidencia Roque Sáenz Peña,-26.79,-60.44,73.99,76,31,4.85,AR,1592624742
350,Touros,-5.2,-35.46,73.4,100,90,9.17,BR,1592624237
351,Moindou,-21.69,165.68,71.6,73,75,20.8,NC,1592624744
352,Balikpapan,-1.27,116.83,77.05,94,100,6.73,ID,1592624745
353,Beloha,-25.17,45.05,63.28,82,17,12.15,MG,1592624747
354,Miami Beach,25.79,-80.13,79.0,88,90,4.7,US,1592624748
355,Saint-Joseph,-21.37,55.62,71.6,68,46,18.34,RE,1592624749
356,Linqiong,30.42,103.46,86.0,100,40,6.71,CN,1592624750
357,Puno,-15.83,-70.03,36.99,67,0,1.48,PE,1592624751
358,Tigil',57.8,158.67,65.43,58,41,14.72,RU,1592624753
359,Zemio,5.03,25.14,68.0,97,89,2.95,CF,1592624754
360,Longyearbyen,78.22,15.64,42.8,70,20,9.17,SJ,1592624558
361,Mananjary,-21.22,48.33,67.15,83,93,1.66,MG,1592624756
362,Roebourne,-20.78,117.13,83.08,26,0,17.11,AU,1592624757
363,Acapulco de Juárez,16.86,-99.89,81.5,70,91,2.17,MX,1592624246
364,Province of Mantua,45.17,10.78,57.0,90,1,2.44,IT,1592624760
365,Bereda,43.27,-7.54,57.0,1,28,3.0,ES,1592624761
366,Rawson,-43.3,-65.1,47.46,53,23,15.64,AR,1592624762
367,Fairbanks,64.84,-147.72,60.8,72,90,4.7,US,1592624102
368,Ancud,-41.87,-73.82,48.99,93,90,11.41,CL,1592624764
369,Zaysan,47.47,84.87,70.95,42,66,5.1,KZ,1592624766
370,Lakes Entrance,-37.88,147.98,55.0,89,100,1.01,AU,1592624767
371,Ubari,26.59,12.78,80.08,16,0,11.1,LY,1592624768
372,Chicama,-7.84,-79.15,64.04,82,54,5.32,PE,1592624769
373,Conceição do Araguaia,-8.26,-49.26,75.2,78,32,0.34,BR,1592624770
374,Vágur,61.47,-6.81,50.99,97,99,14.99,FO,1592624772
375,Guiyang,26.58,106.72,80.6,69,75,15.66,CN,1592624773
376,Erenhot,43.65,111.98,95.41,13,33,13.73,CN,1592624774
377,Olafsvik,64.89,-23.71,47.88,83,100,14.79,IS,1592624775
378,Yantongshan,43.29,126.01,85.32,47,78,13.02,CN,1592624776
379,Athabasca,54.72,-113.29,55.26,77,70,3.89,CA,1592624772
380,Bayir,37.27,28.22,62.6,88,0,4.7,TR,1592624778
381,Jingdezhen,29.29,117.21,80.08,88,93,2.1,CN,1592624780
382,Pontes e Lacerda,-15.23,-59.34,70.79,71,91,2.89,BR,1592624781
383,Pacific Grove,36.62,-121.92,60.8,77,75,6.93,US,1592624782
384,Strezhevoy,60.73,77.59,42.8,93,40,6.71,RU,1592624783
385,Madimba,-10.4,40.33,68.0,94,20,17.22,TZ,1592624784
386,West Plains,36.73,-91.85,73.99,73,1,3.87,US,1592624786
387,Port-Gentil,-0.72,8.78,73.78,87,90,8.21,GA,1592624787
388,Waddān,29.16,16.14,82.76,16,0,7.9,LY,1592624788
389,Tagusao,9.19,117.81,87.3,62,83,3.74,PH,1592624789
390,Acaraú,-2.89,-40.12,75.63,89,0,10.8,BR,1592624790
391,Hasaki,35.73,140.83,84.0,57,75,4.7,JP,1592624792
392,Abong Mbang,3.98,13.18,67.95,93,98,2.73,CM,1592624793
393,Carupano,10.67,-63.26,78.28,87,14,8.97,VE,1592624794
394,Cayenne,4.93,-52.33,77.0,100,16,7.14,GF,1592624582
395,Honiara,-9.43,159.95,87.8,70,40,9.17,SB,1592624792
396,Dossor,47.53,52.98,83.77,29,0,17.76,KZ,1592624797
397,Bobo-Dioulasso,11.18,-4.3,71.6,100,78,2.24,BF,1592624799
398,Amahai,-3.33,128.92,81.01,83,99,11.88,ID,1592624800
399,Samaná,19.21,-69.34,78.6,86,7,8.01,DO,1592624801
400,Letlhakane,-21.42,25.58,45.16,88,0,6.24,BW,1592624802
401,Dubbo,-32.25,148.62,66.2,59,27,19.46,AU,1592624803
402,Am Timan,11.03,20.28,77.07,79,99,4.47,TD,1592624212
403,Tank,32.22,70.38,103.01,15,0,15.17,PK,1592624651
404,San Ramon,37.78,-121.98,75.2,41,1,8.05,US,1592624789
405,Gamba,-2.65,10.0,71.19,94,33,2.04,GA,1592624809
406,Zheleznodorozhnyy,55.75,38.0,71.01,93,2,4.47,RU,1592624810
407,Harbour Breton,47.48,-55.8,50.68,94,94,10.83,CA,1592624811
408,Sterling,39.01,-77.43,68.0,88,75,3.36,US,1592624813
409,Anadyr,64.75,177.48,77.0,38,20,8.95,RU,1592624814
410,Srikakulam,18.3,83.9,92.3,53,97,4.0,IN,1592624532
411,Mbuji-Mayi,-6.15,23.6,69.85,48,69,3.38,CD,1592624816
412,Saint-Jovite,46.12,-74.6,75.2,57,20,3.36,CA,1592624571
413,Maceió,-9.67,-35.74,75.2,88,40,3.36,BR,1592624768
414,Puerto Cabezas,14.04,-83.39,79.48,86,25,9.71,NI,1592624820
415,Along,28.17,94.77,83.59,81,21,2.55,IN,1592624821
416,Arroio Grande,-32.24,-53.09,60.24,97,100,3.53,BR,1592624822
417,Cacimba de Dentro,-6.64,-35.79,68.09,97,53,13.94,BR,1592624825
418,Yangi Marg`ilon,40.43,71.72,82.4,23,0,2.24,UZ,1592624826
419,Vostok,46.49,135.88,64.47,57,97,2.42,RU,1592624827
420,Damara,4.96,18.7,73.4,100,20,2.77,CF,1592624828
421,Brewster,41.4,-73.62,69.01,82,1,3.24,US,1592624829
422,Bousso,10.48,16.71,77.67,79,97,4.59,TD,1592624830
423,Gualeguaychú,-33.01,-58.52,53.01,97,49,8.01,AR,1592624832
424,Chokwé,-24.53,32.98,56.48,96,0,5.28,MZ,1592624833
425,Victor Harbor,-35.57,138.62,54.0,94,31,1.01,AU,1592624834
426,Okhotsk,59.38,143.3,50.77,82,78,11.5,RU,1592624278
427,Cockburn Town,21.46,-71.14,82.31,82,0,19.48,TC,1592624836
428,Karwar,14.8,74.13,82.44,80,86,5.37,IN,1592624837
429,Kaniama,-7.57,24.18,60.46,58,0,5.23,CD,1592624839
430,Capulaan,15.9,120.54,91.76,55,2,3.51,PH,1592624840
431,Klaksvík,62.23,-6.59,50.0,100,98,18.34,FO,1592624841
432,Alta Floresta,-9.88,-56.09,68.22,75,65,2.44,BR,1592624659
433,Camacha,33.08,-16.33,66.2,82,20,5.82,PT,1592624844
434,Mehamn,71.04,27.85,43.92,80,94,15.9,NO,1592624845
435,Shamkhal,43.06,47.34,78.01,41,13,8.95,RU,1592624846
436,The Valley,18.22,-63.06,82.99,74,40,9.17,AI,1592624816
437,Fairhope,30.52,-87.9,82.0,94,40,5.21,US,1592624849
438,Kyra,49.58,111.98,71.51,57,47,4.34,RU,1592624850
439,Ngorongoro,-3.24,35.49,49.57,100,89,5.82,TZ,1592624851
440,Nizwá,22.93,57.53,94.86,30,22,1.72,OM,1592624852
441,Vallenar,-28.57,-70.76,60.49,39,0,1.63,CL,1592624855
442,Andenes,69.31,16.12,48.2,87,2,16.11,NO,1592624857
443,Batagay,67.63,134.63,91.51,20,22,1.66,RU,1592624858
444,Gazli,40.13,63.45,91.35,11,0,11.41,UZ,1592624859
445,Ondangwa,-17.92,15.95,50.0,61,51,3.36,NA,1592624860
446,Monopoli,40.96,17.29,68.0,87,90,3.36,IT,1592624861
447,Palu,-0.89,119.87,85.98,69,82,3.49,ID,1592624592
448,Zhicheng,30.3,111.5,71.01,92,94,3.4,CN,1592624864
449,Townsville,-19.25,146.8,77.0,61,75,13.87,AU,1592624776
450,Jiaocheng,24.68,116.14,93.69,47,72,7.05,CN,1592624866
451,Leningradskiy,69.38,178.42,46.56,58,13,5.95,RU,1592624867
452,Ambon City,-3.7,128.18,81.0,13,89,18.34,ID,1592624869
453,Kanye,-24.97,25.33,39.65,73,0,3.44,BW,1592624871
454,Mackenzie,55.3,-123.17,62.6,88,90,2.24,CA,1592624872
455,Locri,38.24,16.26,73.99,76,92,10.0,IT,1592624873
456,Linxia Chengguanzhen,35.6,103.21,80.2,36,13,2.37,CN,1592624874
457,Goundam,16.41,-3.67,89.22,39,6,16.37,ML,1592624875
458,Suruç,36.98,38.42,64.4,72,0,7.74,TR,1592624876
459,Inírida,3.87,-67.92,73.78,95,58,2.28,CO,1592624878
460,Chardara,41.25,67.97,81.63,23,0,3.65,KZ,1592624879
461,Shunyi,40.12,116.65,93.0,45,0,8.95,CN,1592624880
462,Margate,51.38,1.39,55.0,93,100,1.01,GB,1592624315
463,Qaqortoq,60.72,-46.03,41.0,75,100,6.93,GL,1592624882
464,Banda Aceh,5.56,95.32,86.95,63,89,6.71,ID,1592624883
465,Road Town,18.42,-64.62,82.0,81,0,15.99,VG,1592624836
466,Galveston,29.37,-94.97,84.0,74,20,12.75,US,1592624887
467,Ploemeur,47.73,-3.43,60.01,93,75,1.12,FR,1592624870
468,Sunrise Manor,36.21,-115.07,95.0,6,1,5.82,US,1592624889
469,Purpe,64.48,76.69,51.01,62,100,5.12,RU,1592624890
470,Lewistown,40.6,-77.57,66.99,100,90,1.97,US,1592624723
471,Pemangkat,1.17,108.97,86.45,64,49,1.3,ID,1592624892
472,Puebla,18.83,-98.0,70.0,60,81,8.01,MX,1592624893
473,Batagay-Alyta,67.8,130.41,84.4,21,0,9.93,RU,1592624894
474,Dunedin,-45.87,170.5,50.0,74,61,11.99,NZ,1592624865
475,Chișinău,47.01,28.86,66.2,88,19,5.82,MD,1592624897
476,Natal,-5.79,-35.21,75.2,94,75,11.41,BR,1592624615
477,Jos,9.92,8.9,63.99,94,99,3.96,NG,1592624841
478,Nantucket,41.28,-70.1,64.0,93,90,10.29,US,1592624838
479,Port Blair,11.67,92.75,85.66,77,100,13.4,IN,1592624877
480,Marsh Harbour,26.54,-77.06,80.13,83,100,6.73,BS,1592624903
481,Mandalī,33.75,45.55,91.53,12,0,6.78,IQ,1592624904
482,Hamilton,39.18,-84.53,75.0,64,40,0.51,US,1592624721
483,Praia,14.92,-23.51,75.2,78,40,8.05,CV,1592624906
484,Novoagansk,61.94,76.66,48.29,54,98,6.71,RU,1592624907
485,Mahibadhoo,3.78,72.97,83.98,77,63,9.8,MV,1592624867
486,La Plata,-34.92,-57.95,52.0,93,34,4.09,AR,1592624909
487,Sanchazi,42.08,126.6,81.3,43,3,12.15,CN,1592624910
488,Atambua,-9.11,124.89,83.19,59,78,4.79,ID,1592624912
489,Gijang,35.24,129.21,77.0,57,75,5.82,KR,1592624738
490,Pangkalanbuun,-2.68,111.62,85.28,75,47,4.27,ID,1592624914
491,Pisco,-13.7,-76.22,62.6,82,0,10.29,PE,1592624915
492,Jalpan,21.23,-99.48,71.69,81,30,2.19,MX,1592624916
493,Todos Santos,23.45,-110.22,68.0,84,9,5.17,MX,1592624917
494,Si Satchanalai,17.52,99.76,86.0,74,20,6.93,TH,1592624693
495,Rubik,41.77,19.79,60.8,93,75,4.7,AL,1592624919
496,San Fernando,15.03,120.69,87.8,70,75,6.93,PH,1592624921
497,Scarborough,54.28,-0.4,57.0,88,3,3.0,GB,1592624728
498,Victoria Point,-27.58,153.3,66.99,82,70,11.14,AU,1592624923
499,Lavrentiya,65.58,-171.0,55.27,41,0,15.3,RU,1592624924
500,Turukhansk,65.82,87.98,56.77,80,100,17.81,RU,1592624896
501,Aktash,50.3,87.73,57.54,36,0,5.95,RU,1592624926
502,Copiapó,-27.37,-70.33,55.4,82,0,4.7,CL,1592624927
503,Sabha,27.04,14.43,80.35,16,0,10.94,LY,1592624929
504,Hermiston,45.84,-119.29,86.0,34,1,4.7,US,1592624630
505,Aitape,-3.14,142.35,85.82,68,26,6.02,PG,1592624931
506,Prince Rupert,54.32,-130.32,57.2,87,90,17.22,CA,1592624772
507,Ugoofaaru,5.67,73.0,83.52,80,15,10.38,MV,1592624933
508,Mūlki,13.1,74.8,78.8,83,75,5.82,IN,1592624934
509,Blyth,55.13,-1.51,55.4,82,79,5.82,GB,1592624936
510,Baishishan,43.58,127.57,62.58,90,100,5.12,CN,1592624937
511,Nioro,13.35,-15.75,81.36,78,69,7.4,GM,1592624938
512,San Rafael del Sur,11.85,-86.44,80.6,83,20,4.7,NI,1592624939
513,Tongren,27.72,109.19,80.38,79,94,2.06,CN,1592624940
514,Fuente de Oro,3.46,-73.61,72.84,91,53,2.1,CO,1592624941
515,Praia da Vitória,38.73,-27.07,66.2,82,20,10.8,PT,1592624942
516,Santa Cruz de Tenerife,28.47,-16.25,66.99,88,90,6.93,ES,1592624944
517,Olinda,-8.01,-34.86,80.6,74,20,12.75,BR,1592624945
518,Kuala Pilah,2.74,102.25,77.0,94,40,1.12,MY,1592624946
519,Yanaul,56.27,54.93,61.21,74,4,13.82,RU,1592624947
520,Cândido de Abreu,-24.57,-51.33,61.16,92,1,1.32,BR,1592624948
521,Tabou,4.42,-7.35,77.41,77,100,4.07,CI,1592624949
522,Ranong,9.97,98.63,87.8,70,20,5.82,TH,1592624951
523,Hirara,24.8,125.28,89.6,79,75,20.8,JP,1592624952
524,Comodoro Rivadavia,-45.87,-67.5,50.0,53,90,16.11,AR,1592624898
525,Caxito,-8.58,13.66,75.2,88,75,2.24,AO,1592624954
526,Whitianga,-36.83,175.7,62.01,79,8,5.17,NZ,1592624955
527,Sa Kaeo,13.81,102.07,88.63,66,100,5.01,TH,1592624956
528,Kudahuvadhoo,2.67,72.89,83.8,76,45,9.84,MV,1592624957
529,Suoyarvi,62.08,32.35,51.73,63,66,7.61,RU,1592624958
530,Gemena,3.25,19.77,71.13,88,100,1.19,CD,1592624960
531,Barcelos,41.54,-8.62,59.0,100,40,2.89,PT,1592624961
532,Tara,56.89,74.37,53.31,49,0,5.66,RU,1592624962
533,Krutikha,53.96,81.21,51.26,80,20,12.15,RU,1592624963
534,Vuktyl,63.86,57.31,43.81,72,80,14.25,RU,1592624964
535,Codrington,-38.27,141.97,57.94,66,18,14.05,AU,1592624965
